Participant Number,age,sex,ethnicity,nationality,english_language_fluency,sexual_orientation
1,20,Female,White,Welsh,Yes,.
2,19,Male,White,British,Native,Gay
3,33,Male,Arab- North African,Egyptian,,Heterosexual
4,20,Female,White,British,100.00%,Lesbian
5,21,Female,Asian- Malaysian Chinese,Malaysian,Fluent,.
6,19,Female,White- other,Cypriot,Very Fluent,.
7,22,Female,White,British,Fluent,Bisexual
8,35,Male,White,British,Fluent,Heterosexual
9,21,Male,Bulgarian,Bulgarian,Decent,Straight
10,30,Female,White,British,Fluent,Straight
11,22,Male,Chinese,Malaysian,Second language,Straight
12,21,Female,White,British,Native,Straight
13,24,Female,White,Netherlands,Fluent,Heterosexual
14,31,Female,White,English,Fluent,Heterosexual
15,23,Female,White,British,Full,Bisexual
16,28,Male,Russian,Russia,Advanced,Heterosexual
17,22,Male,White- Caucasian,English,First language,Straight
18,24,Female,.,,Fluent,Heterosexual
19,29,Male,White,Greek,Fluent,Straight
20,20,Female,"Half British, Half Asian",British,Fluent,Straight
21,23,Female,Arab,Jordanian,Fluent,Heterosexual
22,21,Female,White,Irish,Native speaker,Straight
23,20,Female,British,British,Yes,Bisexual
24,20,Male,White,British,Fluent,Straight
25,21,Female,.,Chinese,Medium,Male
26,21,Female,White,British,Fluent,Heterosexual
27,29,Female,White,British,Native,Straight
28,30,Female,Asian,Indonesian,Advance,Heterosexual
29,20,Female,White,British,Fluent,Heterosexual
30,28,Female,Indian,British,English,Lesbian/ Queer
31,21,Female,White,British,Fluent,Straight/ Heterosexual
32,23,Female,White,English,Fluent,Straight
33,21,Male,Asian,Hong Kong,,Heterosexual
34,33,Female,.,Argentinian,Second language,Heterosexual
35,28,Male,White,British,Excellent (Native),Straight
36,31,Female,White,Ukrainian,Fluent/ Second language,.
37,22,Female,Chinese,Malaysian,Second language,.
38,29,Male,White,British,Yes,Heterosexual
39,20,Male,British White,British,Yes,Heterosexual
40,30,Male,Asian- Chinese,Malaysian,Fluent,Gay
41,20,Female,White,British,(tick),Heterosexual
42,28,Male,White,British,Native,Straight
43,20,Female,White/ Asian,British,Fluent,Heterosexual
44,29,Female,Asian (Pakistani),British,Fluent,Straight
45,20,Male,White,British,Fluent,Heterosexual
46,24,Female,Indian,Indian,Fluent,Heterosexual
47,26,Female,Greek,Greek,Good,.
48,27,Female,British Asian (Indian),British,Yes,Straight
49,28,Male,White,German,Fluid,Heterosexual
50,26,Female,.,French,,.
51,27,Female,White,British,Native,Heterosexual
52,29,Female,Asian,Indian,,.
53,24,Female,White,British,Fluent- 1st languageFluent- 1st languageFluent- 1st languageFluent- 1st languageFluent- 1st languageFluent- 1st languageFluent- 1st language,Straight
54,25,Female,Arab,Palestinian,Proficient,Straight
55,26,Female,White,British,Fluent- 1st language,Heterosexual
56,20,Female,White,American,Native,.
57,25,Male,White,British,1st language1st language1st language1st language1st language1st language1st language,Heterosexual
58,30,Male,White,British,Native,Heterosexual
59,29,Male,White,British,Great,Heterosexual
60,26,Female,Chinese,British,Fluent,Heterosexual
61,22,Female,White,British,Fluent,Bisexual
62,,.,.,,,.
63,19,Female,White,British,Fluent,Pansexual
64,19,Male,Chinese,British,Fluent,Bisexual
65,35,Female,Chinese,Chinese,Fluent,Straight
66,28,Female,White,British,Fluent,Straight
67,28,Female,Kazakh,Kazakhstan,Fluent,Straight
68,31,Male,Asian,Kazakhstan,Second language,.
69,30,Male,Caucasian,Italian,Second language,Straight
70,29,Male,Asian,Thai,,.
71,22,Female,Asian,Malaysian,Excellent ,.
72,26,Female,White,British,Fluent,Heterosexual
73,23,Female,White British,English,Yes,Heterosexual
74,21,Female,White,British,(tick),.
75,21,Male,British,English,1st language,Straight
76,25,Female,White,Argentinian,yes,Bisexual
77,31,Female,White British,British,Fluent,Straight
78,21,Male,White British,,English,.
79,22,Male,Malay,Malaysia,Fluent,Straight
80,29,Male,Chinese,Chinese,Fluent,Gay Man
81,23,Female,white,Brazilian,P,.
82,32,Male,White,British,Mother Tongue,Heterosexual
83,24,Female,White,Spanish,high,Heterosexual
84,23,Female,Asian - Pakistani,British,Mother Tongue,Gay
85,32,Female,Asian,Thai,Good,Straight Woman
86,18,Female,Indian,Indian,1st,Straight
87,27,Male,White,Brazilian,Fluent,Heterosexual
